2022-04-18 14:26:51.104 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'AbpProDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-18 14:26:51.221 +08:00 [INF] Starting default Dispatcher
2022-04-18 14:26:51.301 +08:00 [INF] Starting the processing server.
2022-04-18 14:26:51.320 +08:00 [INF] RabbitMQ consumer registered. --> amq.ctag-oi4Ime07fmecXfScOCU82g
2022-04-18 14:26:51.347 +08:00 [INF] ### CAP started!
2022-04-18 14:26:51.354 +08:00 [INF] Loaded ABP modules:
2022-04-18 14:26:51.355 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-04-18 14:26:51.356 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-04-18 14:26:51.499 +08:00 [INF]     - Volo.Abp.TenantManagement.AbpTenantManagementApplicationModule
2022-04-18 14:26:51.500 +08:00 [INF]     - Volo.Abp.FeatureManagement.AbpFeatureManagementApplicationModule
2022-04-18 14:26:51.501 +08:00 [INF]     - Volo.Abp.SettingManagement.AbpSettingManagementApplicationModule
2022-04-18 14:26:51.502 +08:00 [INF]     - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementApplicationModule
2022-04-18 14:26:51.502 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.NotificationManagementApplicationModule
2022-04-18 14:26:51.503 +08:00 [INF]       - Volo.Abp.AspNetCore.SignalR.AbpAspNetCoreSignalRModule
2022-04-18 14:26:51.504 +08:00 [INF]     - Lion.AbpPro.FileManagement.FileManagementApplicationModule
2022-04-18 14:26:51.505 +08:00 [INF]       - Volo.Abp.BlobStoring.Aliyun.AbpBlobStoringAliyunModule
2022-04-18 14:26:51.506 +08:00 [INF]         - Volo.Abp.BlobStoring.AbpBlobStoringModule
2022-04-18 14:26:51.508 +08:00 [INF]   - Lion.AbpPro.CAP.AbpProAbpCapModule
2022-04-18 14:26:51.509 +08:00 [INF]   - Volo.Abp.AspNetCore.Mvc.UI.Theme.Basic.AbpAspNetCoreMvcUiBasicThemeModule
2022-04-18 14:26:51.510 +08:00 [INF]   - Volo.Abp.Caching.StackExchangeRedis.AbpCachingStackExchangeRedisModule
2022-04-18 14:26:51.679 +08:00 [INF] DB tables already exist. Exit install
2022-04-18 14:26:51.693 +08:00 [INF] Starting Hangfire Server using job storage: 'Server: localhost@LionAbpProDB'
2022-04-18 14:26:51.694 +08:00 [INF] Using the following options for SQL Server job storage:
2022-04-18 14:26:51.695 +08:00 [INF]     Queue poll interval: 00:00:15.
2022-04-18 14:26:51.696 +08:00 [INF] Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2022-04-18 14:26:51.833 +08:00 [INF] Server szqh003802a:36200:d7f192d4 successfully announced in 107.9654 ms
2022-04-18 14:26:51.837 +08:00 [INF] Server szqh003802a:36200:d7f192d4 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler...
2022-04-18 14:26:51.852 +08:00 [INF] 1 servers were removed due to timeout
2022-04-18 14:26:51.933 +08:00 [INF] Server szqh003802a:36200:d7f192d4 all the dispatchers started
2022-04-18 14:26:52.265 +08:00 [INF] Connecting to Redis endpoints: localhost. Using Server Name: SZQH003802A_83ce239a7f3c46218479319b2745b43d
2022-04-18 14:26:52.309 +08:00 [INF] Connected to Redis.
2022-04-18 14:26:52.997 +08:00 [INF] Initialized all ABP modules.
2022-04-18 14:26:53.061 +08:00 [INF] Now listening on: http://localhost:44315
2022-04-18 14:26:53.064 +08:00 [INF] Application started. Press Ctrl+C to shut down.
2022-04-18 14:26:53.065 +08:00 [INF] Hosting environment: Development
2022-04-18 14:26:53.067 +08:00 [INF] Content root path: D:\github\WangJunZzz\abp-vnext-pro\aspnet-core\services\host\Lion.AbpPro.HttpApi.Host
2022-04-18 14:26:53.259 +08:00 [INF] Request starting HTTP/1.1 GET http://localhost:44315/ - -
2022-04-18 14:26:53.631 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'SettingManagementDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-18 14:26:53.924 +08:00 [INF] Executed DbCommand (11ms) [Parameters=[@__providerName_0='?' (Size = 64)], CommandType='"Text"', CommandTimeout='30']
SELECT `a`.`Id`, `a`.`Name`, `a`.`ProviderKey`, `a`.`ProviderName`, `a`.`Value`
FROM `AbpSettings` AS `a`
WHERE (`a`.`ProviderName` = @__providerName_0) AND `a`.`ProviderKey` IS NULL
2022-04-18 14:26:54.252 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'SettingManagementDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-18 14:26:54.278 +08:00 [INF] Executed DbCommand (6ms) [Parameters=[@__providerName_0='?' (Size = 64)], CommandType='"Text"', CommandTimeout='30']
SELECT `a`.`Id`, `a`.`Name`, `a`.`ProviderKey`, `a`.`ProviderName`, `a`.`Value`
FROM `AbpSettings` AS `a`
WHERE (`a`.`ProviderName` = @__providerName_0) AND `a`.`ProviderKey` IS NULL
2022-04-18 14:26:55.537 +08:00 [INF] Executing endpoint 'Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host)'
2022-04-18 14:26:55.567 +08:00 [INF] Route matched with {action = "Index", controller = "Home", area = "", page = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult Index() on controller Lion.AbpPro.Controllers.HomeController (Lion.AbpPro.HttpApi.Host).
