2022-04-24 15:56:40.637 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'AbpProDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-24 15:56:40.766 +08:00 [INF] Starting default Dispatcher
2022-04-24 15:56:40.858 +08:00 [INF] Starting the processing server.
2022-04-24 15:56:40.883 +08:00 [INF] RabbitMQ consumer registered. --> amq.ctag-esjfjADrEC0ymXC_iZlyIQ
2022-04-24 15:56:40.920 +08:00 [INF] ### CAP started!
2022-04-24 15:56:40.929 +08:00 [INF] Loaded ABP modules:
2022-04-24 15:56:40.931 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-04-24 15:56:40.932 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-04-24 15:56:41.044 +08:00 [INF]         - Volo.Abp.TextTemplating.AbpTextTemplatingModule
2022-04-24 15:56:41.045 +08:00 [INF]           - Volo.Abp.TextTemplating.Scriban.AbpTextTemplatingScribanModule
2022-04-24 15:56:41.046 +08:00 [INF]             - Volo.Abp.TextTemplating.AbpTextTemplatingCoreModule
2022-04-24 15:56:41.049 +08:00 [INF]       - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementDomainModule
2022-04-24 15:56:41.050 +08:00 [INF]       - Lion.AbpPro.NotificationManagement.NotificationManagementDomainModule
2022-04-24 15:56:41.051 +08:00 [INF]       - Lion.AbpPro.FileManagement.FileManagementDomainModule
2022-04-24 15:56:41.052 +08:00 [INF]     - Volo.Abp.Identity.EntityFrameworkCore.AbpIdentityEntityFrameworkCoreModule
2022-04-24 15:56:41.053 +08:00 [INF]       - Volo.Abp.Users.EntityFrameworkCore.AbpUsersEntityFrameworkCoreModule
2022-04-24 15:56:41.055 +08:00 [INF]         - Volo.Abp.EntityFrameworkCore.AbpEntityFrameworkCoreModule
2022-04-24 15:56:41.057 +08:00 [INF]     - Volo.Abp.IdentityServer.EntityFrameworkCore.AbpIdentityServerEntityFrameworkCoreModule
2022-04-24 15:56:41.058 +08:00 [INF]     - Volo.Abp.PermissionManagement.EntityFrameworkCore.AbpPermissionManagementEntityFrameworkCoreModule
2022-04-24 15:56:41.058 +08:00 [INF]     - Volo.Abp.SettingManagement.EntityFrameworkCore.AbpSettingManagementEntityFrameworkCoreModule
2022-04-24 15:56:41.059 +08:00 [INF]     - Volo.Abp.EntityFrameworkCore.MySQL.AbpEntityFrameworkCoreMySQLModule
2022-04-24 15:56:41.060 +08:00 [INF]     - Volo.Abp.BackgroundJobs.EntityFrameworkCore.AbpBackgroundJobsEntityFrameworkCoreModule
2022-04-24 15:56:41.061 +08:00 [INF]     - Volo.Abp.AuditLogging.EntityFrameworkCore.AbpAuditLoggingEntityFrameworkCoreModule
2022-04-24 15:56:41.062 +08:00 [INF]     - Volo.Abp.TenantManagement.EntityFrameworkCore.AbpTenantManagementEntityFrameworkCoreModule
2022-04-24 15:56:41.065 +08:00 [INF]     - Volo.Abp.FeatureManagement.EntityFrameworkCore.AbpFeatureManagementEntityFrameworkCoreModule
2022-04-24 15:56:41.066 +08:00 [INF]     - Lion.AbpPro.DataDictionaryManagement.EntityFrameworkCore.DataDictionaryManagementEntityFrameworkCoreModule
2022-04-24 15:56:41.066 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.EntityFrameworkCore.NotificationManagementEntityFrameworkCoreModule
2022-04-24 15:56:41.067 +08:00 [INF]     - Lion.AbpPro.FileManagement.EntityFrameworkCore.FileManagementEntityFrameworkCoreModule
