2022-04-15 10:22:40.839 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'AbpProDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-15 10:22:41.051 +08:00 [INF] Starting default Dispatcher
2022-04-15 10:22:41.180 +08:00 [INF] Starting the processing server.
2022-04-15 10:22:41.210 +08:00 [INF] RabbitMQ consumer registered. --> amq.ctag-rkeZYWKyHJ9TZDeTzDRanw
2022-04-15 10:22:41.255 +08:00 [INF] ### CAP started!
2022-04-15 10:22:41.265 +08:00 [INF] Loaded ABP modules:
2022-04-15 10:22:41.266 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-04-15 10:22:41.267 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-04-15 10:22:41.538 +08:00 [INF]       - Volo.Abp.Identity.AbpIdentityApplicationModule
2022-04-15 10:22:41.539 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementApplicationModule
2022-04-15 10:22:41.540 +08:00 [INF]     - Volo.Abp.TenantManagement.AbpTenantManagementApplicationModule
2022-04-15 10:22:41.541 +08:00 [INF]     - Volo.Abp.FeatureManagement.AbpFeatureManagementApplicationModule
2022-04-15 10:22:41.542 +08:00 [INF]     - Volo.Abp.SettingManagement.AbpSettingManagementApplicationModule
2022-04-15 10:22:41.543 +08:00 [INF]     - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementApplicationModule
2022-04-15 10:22:41.555 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.NotificationManagementApplicationModule
2022-04-15 10:22:41.556 +08:00 [INF]       - Volo.Abp.AspNetCore.SignalR.AbpAspNetCoreSignalRModule
2022-04-15 10:22:41.557 +08:00 [INF]     - Lion.AbpPro.FileManagement.FileManagementApplicationModule
2022-04-15 10:22:41.558 +08:00 [INF]       - Volo.Abp.BlobStoring.Aliyun.AbpBlobStoringAliyunModule
2022-04-15 10:22:41.560 +08:00 [INF]         - Volo.Abp.BlobStoring.AbpBlobStoringModule
2022-04-15 10:22:41.561 +08:00 [INF]   - Lion.AbpPro.CAP.AbpProAbpCapModule
2022-04-15 10:22:41.563 +08:00 [INF]   - Volo.Abp.AspNetCore.Mvc.UI.Theme.Basic.AbpAspNetCoreMvcUiBasicThemeModule
2022-04-15 10:22:41.566 +08:00 [INF]   - Volo.Abp.Caching.StackExchangeRedis.AbpCachingStackExchangeRedisModule
2022-04-15 10:22:41.810 +08:00 [INF] DB tables already exist. Exit install
2022-04-15 10:22:41.834 +08:00 [INF] Starting Hangfire Server using job storage: 'Server: localhost@LionAbpProDB'
2022-04-15 10:22:41.836 +08:00 [INF] Using the following options for SQL Server job storage:
2022-04-15 10:22:41.837 +08:00 [INF]     Queue poll interval: 00:00:15.
2022-04-15 10:22:41.838 +08:00 [INF] Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2022-04-15 10:22:42.057 +08:00 [INF] Server szqh003802a:83788:461d985d successfully announced in 173.7878 ms
2022-04-15 10:22:42.065 +08:00 [INF] Server szqh003802a:83788:461d985d is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler...
2022-04-15 10:22:42.091 +08:00 [INF] 3 servers were removed due to timeout
2022-04-15 10:22:42.215 +08:00 [INF] Server szqh003802a:83788:461d985d all the dispatchers started
2022-04-15 10:22:42.665 +08:00 [INF] Connecting to Redis endpoints: localhost. Using Server Name: SZQH003802A_693e41f037084756b38bd4520f4d3a8c
2022-04-15 10:22:42.762 +08:00 [INF] Connected to Redis.
2022-04-15 10:22:42.846 +08:00 [INF] Initialized all ABP modules.
2022-04-15 10:22:42.947 +08:00 [INF] Now listening on: http://localhost:44315
2022-04-15 10:22:42.953 +08:00 [INF] Application started. Press Ctrl+C to shut down.
2022-04-15 10:22:42.956 +08:00 [INF] Hosting environment: Development
2022-04-15 10:22:42.958 +08:00 [INF] Content root path: D:\github\WangJunZzz\abp-vnext-pro\aspnet-core\services\host\Lion.AbpPro.HttpApi.Host
2022-04-15 10:22:43.109 +08:00 [INF] Request starting HTTP/1.1 GET http://localhost:44315/ - -
2022-04-15 10:22:43.636 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'SettingManagementDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-15 10:22:44.014 +08:00 [INF] Executed DbCommand (15ms) [Parameters=[@__providerName_0='?' (Size = 64)], CommandType='"Text"', CommandTimeout='30']
SELECT `a`.`Id`, `a`.`Name`, `a`.`ProviderKey`, `a`.`ProviderName`, `a`.`Value`
FROM `AbpSettings` AS `a`
WHERE (`a`.`ProviderName` = @__providerName_0) AND `a`.`ProviderKey` IS NULL
2022-04-15 10:22:44.499 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'SettingManagementDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-15 10:22:44.532 +08:00 [INF] Executed DbCommand (9ms) [Parameters=[@__providerName_0='?' (Size = 64)], CommandType='"Text"', CommandTimeout='30']
SELECT `a`.`Id`, `a`.`Name`, `a`.`ProviderKey`, `a`.`ProviderName`, `a`.`Value`
FROM `AbpSettings` AS `a`
WHERE (`a`.`ProviderName` = @__providerName_0) AND `a`.`ProviderKey` IS NULL
2022-04-15 10:22:46.171 +08:00 [INF] Executing endpoint 'Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host)'
2022-04-15 10:22:46.207 +08:00 [INF] Route matched with {action = "Index", controller = "Home", area = "", page = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult Index() on controller Lion.AbpPro.Controllers.HomeController (Lion.AbpPro.HttpApi.Host).
2022-04-15 10:22:46.244 +08:00 [INF] Executing action method Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host) - Validation state: "Valid"
2022-04-15 10:22:46.252 +08:00 [INF] Executed action method Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host), returned result Microsoft.AspNetCore.Mvc.RedirectResult in 0.6089ms.
2022-04-15 10:22:46.262 +08:00 [INF] Executing RedirectResult, redirecting to /Login.
2022-04-15 10:22:46.271 +08:00 [INF] Executed action Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host) in 56.4874ms
2022-04-15 10:22:46.273 +08:00 [INF] Executed endpoint 'Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host)'
2022-04-15 10:22:46.301 +08:00 [INF] Request finished HTTP/1.1 GET http://localhost:44315/ - - - 302 0 - 3193.6801ms
2022-04-15 10:22:46.308 +08:00 [INF] Request starting HTTP/1.1 GET http://localhost:44315/Login - -
2022-04-15 10:22:47.051 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'BackgroundJobsDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-15 10:22:47.097 +08:00 [INF] Executed DbCommand (4ms) [Parameters=[@__now_0='?' (DbType = DateTime), @__p_1='?' (DbType = Int32)], CommandType='"Text"', CommandTimeout='30']
SELECT `a`.`Id`, `a`.`ConcurrencyStamp`, `a`.`CreationTime`, `a`.`ExtraProperties`, `a`.`IsAbandoned`, `a`.`JobArgs`, `a`.`JobName`, `a`.`LastTryTime`, `a`.`NextTryTime`, `a`.`Priority`, `a`.`TryCount`
FROM `AbpBackgroundJobs` AS `a`
WHERE NOT (`a`.`IsAbandoned`) AND (`a`.`NextTryTime` <= @__now_0)
ORDER BY `a`.`Priority` DESC, `a`.`TryCount`, `a`.`NextTryTime`
LIMIT @__p_1
2022-04-15 10:22:51.416 +08:00 [INF] Executing endpoint '/Login'
2022-04-15 10:22:51.428 +08:00 [INF] Route matched with {page = "/Login", action = "", controller = "", area = ""}. Executing page /Login
2022-04-15 10:22:51.429 +08:00 [INF] Skipping the execution of current filter as its not the most effective filter implementing the policy Microsoft.AspNetCore.Mvc.ViewFeatures.IAntiforgeryPolicy
2022-04-15 10:22:52.119 +08:00 [INF] Executing handler method Lion.AbpPro.Pages.Login.OnGet - ModelState is "Valid"
2022-04-15 10:22:52.121 +08:00 [INF] Executed handler method OnGet, returned result .
2022-04-15 10:22:52.124 +08:00 [INF] Executing an implicit handler method - ModelState is "Valid"
2022-04-15 10:22:52.125 +08:00 [INF] Executed an implicit handler method, returned result Microsoft.AspNetCore.Mvc.RazorPages.PageResult.
2022-04-15 10:22:52.153 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'BackgroundJobsDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-15 10:22:52.161 +08:00 [INF] Executed DbCommand (2ms) [Parameters=[@__now_0='?' (DbType = DateTime), @__p_1='?' (DbType = Int32)], CommandType='"Text"', CommandTimeout='30']
SELECT `a`.`Id`, `a`.`ConcurrencyStamp`, `a`.`CreationTime`, `a`.`ExtraProperties`, `a`.`IsAbandoned`, `a`.`JobArgs`, `a`.`JobName`, `a`.`LastTryTime`, `a`.`NextTryTime`, `a`.`Priority`, `a`.`TryCount`
FROM `AbpBackgroundJobs` AS `a`
