2022-04-29 17:44:43.116 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'AbpProDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-29 17:44:43.265 +08:00 [INF] Starting default Dispatcher
2022-04-29 17:44:43.411 +08:00 [INF] Starting the processing server.
2022-04-29 17:44:43.445 +08:00 [INF] RabbitMQ consumer registered. --> amq.ctag-KgJLq5uj1udx54HbQpllTw
2022-04-29 17:44:43.476 +08:00 [INF] ### CAP started!
2022-04-29 17:44:43.486 +08:00 [INF] Loaded ABP modules:
2022-04-29 17:44:43.488 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-04-29 17:44:43.489 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-04-29 17:44:43.733 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementApplicationModule
2022-04-29 17:44:43.734 +08:00 [INF]     - Volo.Abp.TenantManagement.AbpTenantManagementApplicationModule
2022-04-29 17:44:43.735 +08:00 [INF]     - Volo.Abp.FeatureManagement.AbpFeatureManagementApplicationModule
2022-04-29 17:44:43.736 +08:00 [INF]     - Volo.Abp.SettingManagement.AbpSettingManagementApplicationModule
2022-04-29 17:44:43.738 +08:00 [INF]     - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementApplicationModule
2022-04-29 17:44:43.739 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.NotificationManagementApplicationModule
2022-04-29 17:44:43.742 +08:00 [INF]       - Volo.Abp.AspNetCore.SignalR.AbpAspNetCoreSignalRModule
2022-04-29 17:44:43.749 +08:00 [INF]     - Lion.AbpPro.FileManagement.FileManagementApplicationModule
2022-04-29 17:44:43.750 +08:00 [INF]       - Volo.Abp.BlobStoring.Aliyun.AbpBlobStoringAliyunModule
2022-04-29 17:44:43.751 +08:00 [INF]         - Volo.Abp.BlobStoring.AbpBlobStoringModule
2022-04-29 17:44:43.753 +08:00 [INF]     - Lion.AbpPro.FreeSqlReppsitory.AbpProFreeSqlModule
2022-04-29 17:44:43.754 +08:00 [INF]   - Lion.AbpPro.CAP.AbpProAbpCapModule
2022-04-29 17:44:43.755 +08:00 [INF]   - Volo.Abp.AspNetCore.Mvc.UI.Theme.Basic.AbpAspNetCoreMvcUiBasicThemeModule
2022-04-29 17:44:43.758 +08:00 [INF]   - Volo.Abp.Caching.StackExchangeRedis.AbpCachingStackExchangeRedisModule
2022-04-29 17:44:43.966 +08:00 [INF] DB tables already exist. Exit install
2022-04-29 17:44:43.987 +08:00 [INF] Starting Hangfire Server using job storage: 'Server: localhost@LionAbpProDB'
2022-04-29 17:44:43.988 +08:00 [INF] Using the following options for SQL Server job storage:
2022-04-29 17:44:43.989 +08:00 [INF]     Queue poll interval: 00:00:15.
2022-04-29 17:44:43.990 +08:00 [INF] Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2022-04-29 17:44:44.134 +08:00 [INF] Server szqh003802a:52480:7e48873e successfully announced in 119.5861 ms
2022-04-29 17:44:44.139 +08:00 [INF] Server szqh003802a:52480:7e48873e is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler...
2022-04-29 17:44:44.163 +08:00 [INF] 1 servers were removed due to timeout
2022-04-29 17:44:44.248 +08:00 [INF] Server szqh003802a:52480:7e48873e all the dispatchers started
2022-04-29 17:44:44.617 +08:00 [INF] Connecting to Redis endpoints: localhost. Using Server Name: SZQH003802A_2f00159252fd4e4dac3666044b7a1f9c
2022-04-29 17:44:44.661 +08:00 [INF] Connected to Redis.
2022-04-29 17:44:44.809 +08:00 [INF] Initialized all ABP modules.
2022-04-29 17:44:44.877 +08:00 [INF] Now listening on: http://localhost:44315
2022-04-29 17:44:44.881 +08:00 [INF] Application started. Press Ctrl+C to shut down.
2022-04-29 17:44:44.883 +08:00 [INF] Hosting environment: Development
2022-04-29 17:44:44.885 +08:00 [INF] Content root path: D:\github\WangJunZzz\abp-vnext-pro\aspnet-core\services\host\Lion.AbpPro.HttpApi.Host
2022-04-29 17:44:45.044 +08:00 [INF] Request starting HTTP/1.1 GET http://localhost:44315/ - -
2022-04-29 17:44:45.427 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'SettingManagementDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-29 17:44:45.727 +08:00 [INF] Executed DbCommand (17ms) [Parameters=[@__providerName_0='?' (Size = 64)], CommandType='"Text"', CommandTimeout='30']
SELECT `a`.`Id`, `a`.`Name`, `a`.`ProviderKey`, `a`.`ProviderName`, `a`.`Value`
FROM `AbpSettings` AS `a`
WHERE (`a`.`ProviderName` = @__providerName_0) AND `a`.`ProviderKey` IS NULL
2022-04-29 17:44:46.157 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'SettingManagementDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-29 17:44:46.179 +08:00 [INF] Executed DbCommand (2ms) [Parameters=[@__providerName_0='?' (Size = 64)], CommandType='"Text"', CommandTimeout='30']
SELECT `a`.`Id`, `a`.`Name`, `a`.`ProviderKey`, `a`.`ProviderName`, `a`.`Value`
FROM `AbpSettings` AS `a`
WHERE (`a`.`ProviderName` = @__providerName_0) AND `a`.`ProviderKey` IS NULL
2022-04-29 17:44:47.569 +08:00 [INF] Executing endpoint 'Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host)'
2022-04-29 17:44:47.606 +08:00 [INF] Route matched with {action = "Index", controller = "Home", area = "", page = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult Index() on controller Lion.AbpPro.Controllers.HomeController (Lion.AbpPro.HttpApi.Host).
2022-04-29 17:44:47.639 +08:00 [INF] Executing action method Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host) - Validation state: "Valid"
2022-04-29 17:44:47.645 +08:00 [INF] Executed action method Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host), returned result Microsoft.AspNetCore.Mvc.RedirectResult in 0.529ms.
2022-04-29 17:44:47.656 +08:00 [INF] Executing RedirectResult, redirecting to /Login.
2022-04-29 17:44:47.661 +08:00 [INF] Executed action Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host) in 49.4007ms
2022-04-29 17:44:47.664 +08:00 [INF] Executed endpoint 'Lion.AbpPro.Controllers.HomeController.Index (Lion.AbpPro.HttpApi.Host)'
